Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Middle income,MIC,2108437649,2277805771,2503215409,2752213469,2996815716,3240742774,3511126868,3801034004,4088077068,4354685179,4611084564,4852150916,5090127273,5334922532,5586453059
North Macedonia,MKD,1488667,1569142,1672399,1754956,1825552,1924197,1974415,1995513,1988659,1989443,2034819,2057048,2067313,2074278,2080745
Mali,MLI,5263733,5503752,5780835,6147458,6596728,7090126,7694855,8171522,8850334,9837571,10946445,12369070,14113577,15979499,17965429
Malta,MLT,326550,321250,307900,302450,305774,316645,330593,347325,367618,379905,390087,401268,409379,420028,455356
Myanmar,MMR,21736942,23717788,26015248,28570097,31314341,34224313,37241527,40085651,42401684,44452206,46719701,48564484,49929642,51413698,53045226
Middle East & North Africa (excluding high income),MNA,97553162,108376339,120739199,134051043,148781931,166616401,188614696,212456887,237828663,259431597,279279634,299502774,321168767,345004009,370276461
Montenegro,MNE,480579,521753,517481,521785,552562,572608,600884,607413,608516,611003,604950,613353,616969,620601,622303
Mongolia,MNG,955505,1074514,1207104,1356670,1520865,1689622,1871090,2089715,2243495,2316568,2397418,2496391,2631898,2824699,3056359
Northern Mariana Islands,MNP,9979,10783,12140,13882,15026,16633,25500,40288,46476,47521,57453,57246,54625,54311,56188
Mozambique,MOZ,7184869,7857104,8614447,9446240,10443953,11630194,12636116,12758008,13806001,15960442,17711927,19910552,22276596,24862648,27829942
Mauritania,MRT,850384,956799,1079580,1217446,1370357,1540640,1730738,1930433,2142645,2372901,2630219,2939247,3296238,3706554,4163534
Mauritius,MUS,659351,736381,798413,852053,906507,966039,1012221,1043239,1084441,1133996,1186873,1221003,1244121,1255882,1263473
Malawi,MWI,3659984,4032371,4464423,4958549,5545651,6250440,6964607,8636690,9685973,10022789,11148758,12301838,13727890,15396005,17205289
Malaysia,MYS,8156347,9253842,10297983,11324277,12468689,13798085,15192298,17022465,19002656,21017613,23194257,25190652,27236006,29068159,30684804
North America,NAC,198624409,211262900,221503000,232168663,241538008,251795337,261488476,271349094,284943859,299064347,312909974,324809693,337406357,348610010,359115352
Namibia,NAM,634142,698796,773422,868958,971121,1057727,1162279,1336536,1516958,1663378,1794571,1907745,2043394,2194784,2358041
New Caledonia,NCL,79000,88100,99500,125500,134000,140050,151650,163650,179799,197564,213230,228750,242750,259000,276550
Niger,NER,3388764,3802803,4263927,4768227,5335085,5989004,6719309,7548433,8566770,9826598,11331557,13125916,15250908,17795191,20788838
Nigeria,NGA,45138458,49066760,53506196,58665808,65221378,73423633,81448755,90395271,100161710,110668794,122283850,135320422,150269623,167228767,185960289
Nicaragua,NIC,1773129,2006481,2264623,2558699,2894972,3265519,3642976,3995533,4364512,4741578,5069302,5364935,5667432,5982526,6303974
Netherlands,NLD,11486631,12127120,12729721,13328593,13774037,14149800,14424211,14760094,15184166,15530498,15925513,16281779,16445593,16754962,17030314
Norway,NOR,3581239,3694339,3816486,3933004,4026152,4085620,4140099,4209488,4286401,4381336,4490967,4591910,4768212,5018573,5234519
Nepal,NPL,10105050,10783967,11603928,12583140,13719471,15016402,16477473,18020753,19938320,22090352,23941110,25419344,26666576,26989862,27261131
Nauru,NRU,4375,5592,6337,6803,7286,7741,8328,9062,10030,10672,10337,9902,9891,10279,13049
New Zealand,NZL,2371800,2585400,2748100,2903900,3110500,3112900,3227100,3283400,3531700,3732000,3857700,4087500,4259800,4408100,4693200
OECD members,OED,807366936,854570517,895921761,938803052,979002367,1016539126,1051527300,1085461185,1124867020,1162248642,1196874047,1232647024,1270059584,1302075111,1336645071
Oman,OMN,551740,608889,679595,776380,927436,1154377,1431070,1678110,1983275,2236654,2267973,2445517,2750963,3498029,4479219
Other small states,OSS,9151857,9840384,10606249,11488089,12475022,13598543,14962381,16610017,18156566,19460594,20917092,22442101,24762406,27227319,29542879
Pakistan,PAK,44988690,49627623,55102684,61381987,68834326,78054343,89213706,101389603,113911126,127349290,142343578,156664697,171648986,187281475,203627284
